Date,Name,Year,Letterboxd URI,Rating,Rewatch,Tags,Watched Date
2023-02-04,Everything Everywhere All at Once,2022,https://boxd.it/3OcUjh,5,,,2023-02-03
2023-02-12,All Quiet on the Western Front,2022,https://boxd.it/3Qupht,5,,,2023-02-11
2023-02-16,CODA,2021,https://boxd.it/3RzvXT,4,,,2023-02-15
2023-02-17,Greyhound,2020,https://boxd.it/3RP0pj,3,,,2023-02-16
2023-04-09,Harry Potter and the Chamber of Secrets,2002,https://boxd.it/45RZwl,2.5,,,2023-04-07
2023-05-01,Harry Potter and the Prisoner of Azkaban,2004,https://boxd.it/4bGJdJ,3,,,2023-04-28
2023-05-02,Harry Potter and the Goblet of Fire,2005,https://boxd.it/4c6JAl,2,,,2023-04-30
2023-05-02,American Hustle,2013,https://boxd.it/4cbXqf,4,,,2023-05-01
2023-05-05,Guardians of the Galaxy Vol. 3,2023,https://boxd.it/4cZRal,4,,,2023-05-04
2023-05-07,Hereditary,2018,https://boxd.it/4dqusF,4.5,,,2023-05-06
2023-05-07,Harry Potter and the Order of the Phoenix,2007,https://boxd.it/4dwGcV,3.5,,,2023-05-06
2023-05-08,Life of Pi,2012,https://boxd.it/4dRtjB,5,,,2023-05-07
2023-08-15,The Lighthouse,2019,https://boxd.it/4Hta6Z,4,,,2023-05-21
2023-06-12,Harry Potter and the Half-Blood Prince,2009,https://boxd.it/4mKBzT,4,,,2023-06-11
2023-06-17,Harry Potter and the Deathly Hallows: Part 1,2010,https://boxd.it/4nU7oF,4,,,2023-06-15
2023-06-17,Harry Potter and the Deathly Hallows: Part 2,2011,https://boxd.it/4nU7Hn,4.5,,,2023-06-16
2023-06-19,Semi-Pro,2008,https://boxd.it/4oxtix,3.5,,,2023-06-16
2023-06-19,King Richard,2021,https://boxd.it/4oxtC3,4.5,,,2023-06-18
2023-07-07,Dune,2021,https://boxd.it/4tP8fN,3.5,,,2023-07-06
2023-07-15,Causeway,2022,https://boxd.it/4wfcDp,3,,,2023-07-14
2023-07-24,Porco Rosso,1992,https://boxd.it/4zg3Dz,3.5,,,2023-07-22
2023-07-24,Barbie,2023,https://boxd.it/4zvVAp,5,,,2023-07-23
2023-07-29,The Breakfast Club,1985,https://boxd.it/4BvDfh,3.5,,,2023-07-28
2023-07-30,Pulp Fiction,1994,https://boxd.it/4BSjZv,4.5,,,2023-07-29
2023-07-31,Oppenheimer,2023,https://boxd.it/4CcW0L,5,,,2023-07-30
2023-08-06,Air,2023,https://boxd.it/4EqySv,3.5,,,2023-08-05
2023-08-07,The Shawshank Redemption,1994,https://boxd.it/4EP4tF,5,,,2023-08-06
2023-08-11,Stephen Curry: Underrated,2023,https://boxd.it/4G5Pdv,2,,,2023-08-10
2023-08-13,Billy Madison,1995,https://boxd.it/4GGh07,1.5,,,2023-08-12
2023-08-14,The King's Speech,2010,https://boxd.it/4H7sOh,4,,,2023-08-13
2023-08-15,Top Gun: Maverick,2022,https://boxd.it/4HsCWR,3.5,,,2023-08-14
2023-08-19,Impractical Jokers: The Movie,2020,https://boxd.it/4IwmUH,1,,,2023-08-18
2023-08-28,Till,2022,https://boxd.it/4Lv537,3.5,,,2023-08-27
2023-09-14,The Dark Knight,2008,https://boxd.it/4QrZVh,5,,,2023-09-04
2023-10-21,Elvis,2022,https://boxd.it/51Qa5j,3,,,2023-10-20
2023-12-18,Fargo,1996,https://boxd.it/5lfFX3,4.5,,,2023-12-15
2024-01-10,The Peanut Butter Falcon,2019,https://boxd.it/5ylRLd,3.5,,,2024-01-09
2024-02-16,News of the World,2020,https://boxd.it/5QkE3R,3.5,,,2024-02-15
2024-02-25,Killers of the Flower Moon,2023,https://boxd.it/5Uo2qn,4,,,2024-02-23
2024-05-22,The Notebook,2004,https://boxd.it/6wrxYD,2.5,,,2024-05-20
2024-05-22,The Boys in the Boat,2023,https://boxd.it/6wrxO9,2,,,2024-05-21
