Date,Name,Year,Letterboxd URI,Rating,Rewatch,Review,Tags,Watched Date
2023-04-09,Harry Potter and the Chamber of Secrets,2002,https://boxd.it/45RZwl,2.5,,"Much less cheesy acting than the first, but it still feels like a kids movie made for TV.",,2023-04-07
2025-04-24,Small Things Like These,2024,https://boxd.it/9vjzuJ,3,,"The way the sound design, visuals, and Cillian Murphy’s individual performance all combined to make you feel Bill’s depression and anxiety was excellent and worth the watch. The plot itself felt a bit disjointed and boring to me.",,2025-04-23
2025-07-01,Call Me by Your Name,2017,https://boxd.it/ab82xB,4.5,,Makes me want to smoke a cigarette in 1983 Italy,,2025-06-30
2025-07-26,F1,2025,https://boxd.it/atHTIf,1.5,,I liked when car go fast and nothing else,,2025-07-25
2025-08-09,The Fantastic 4: First Steps,2025,https://boxd.it/aEYYE1,2.5,,Not necessarily good but fun,,2025-08-08
2025-12-09,Hamnet,2025,https://boxd.it/bYRtTN,4.5,,Gut wrenching. Jessie Buckley was magnificent.,theater,2025-12-08
2025-12-30,Marty Supreme,2025,https://boxd.it/cjiYbB,4.5,,"The story was good, the cinematography was great, but undoubtedly what will stick with me from this movie is Marty’s character. The writing and performance gave us a protagonist so grand and singular yet rough around the edges and ultimately flawed that you didn’t want to take your eyes off him. We learned, along with him, who Marty was for the entire length of the film — each scene giving us another glimpse from a slightly different angle. Give Timmy all the awards for this one.",theater,2025-12-29
2026-01-04,Memento,2000,https://boxd.it/cqNDgl,4,,"Very interesting and i probably am going to think about the commentary on how we form and shape our own memory for a while, but i wouldn’t say i enjoyed watching it",,2026-01-03
2026-01-07,Train Dreams,2025,https://boxd.it/cuMZxx,4,,"“Never been somewhere I didn't have some family there, except for Kansas. That state is a collection of savage lunatics.”",,2026-01-06
2026-01-25,"Sorry, Baby",2025,https://boxd.it/cNV4Uj,3.5,,"Loved Eva Victor’s performance. 

Didn’t love *some* of the dialogue she wrote so much. Hearing “Ugh. I hate school!!” 15 times in the first 20 minutes felt very cheesy. And all the grad school friends, except Lydie, felt like caricatures.

At the same time, other interactions, like with the sandwich shop owner mid and post panic attack, both bathtub conversations, and the ending with Jane, were emotionally raw and felt very real. I think those moments from this film will stick with me.",,2026-01-24
2026-01-29,The Smashing Machine,2025,https://boxd.it/cSUCCL,3.5,,"Training montage to Frank Sinatra. Awesome.

Surprisingly good performances. Interesting and complex relationship dynamics between the three main characters. Felt like the film was exploring these characters and relationships and then taking a break to do wrestling for a while. When it did wrestling for a while it fell flat for me and then would pull me back when we went back to Kerr, Staples and Coleman.",,2026-01-28
2026-02-02,If I Had Legs I'd Kick You,2025,https://boxd.it/cWVvSv,4,,Giving <i>The Awakening </i>by Kate Chopin,,2026-02-01
2026-02-16,Wuthering Heights,2026,https://boxd.it/d9aMn3,4.5,,Yes I loved that I’m sorry,,2026-02-15
2026-02-22,Train Dreams,2025,https://boxd.it/dfks5d,5,Yes,"Got to meet Clint, rewatch the film on 35mm in theaters, and sit in on a Q&A. Such a great experience and only made this film that much more moving to me.

“You hear that?
Beautiful, ain’t it?
Just beautiful.
What is, Arn?
All of it.
Every bit of it.”","theater, 35mm, afs cinema",2026-02-21
2026-03-06,Twilight,2008,https://boxd.it/dpsvCl,1,,not sure how people take that seriously and watch without laughing but I had a good time,,2026-03-05
