Date,Name,Year,Letterboxd URI
2023-02-04,The Godfather,1972,https://boxd.it/2aNK
2023-02-04,The Matrix,1999,https://boxd.it/2a1m
2023-02-04,Doctor Strange in the Multiverse of Madness,2022,https://boxd.it/gaTc
2023-02-04,Jurassic Park,1993,https://boxd.it/2aA2
2023-02-04,Don't Worry Darling,2022,https://boxd.it/mViu
2023-02-04,The Banshees of Inisherin,2022,https://boxd.it/p7XS
2023-02-04,Schindler's List,1993,https://boxd.it/2aq2
2023-02-04,The Irishman,2019,https://boxd.it/dYOq
2023-02-04,The Godfather Part II,1974,https://boxd.it/2aNq
2023-02-04,The Great Gatsby,2013,https://boxd.it/JY
2023-04-01,Once Upon a Time... in Hollywood,2019,https://boxd.it/gH0O
2023-04-01,Django Unchained,2012,https://boxd.it/2cCk
2023-04-01,Shutter Island,2010,https://boxd.it/1U82
2023-04-01,The Aviator,2004,https://boxd.it/26BU
2023-04-01,J. Edgar,2011,https://boxd.it/38B0
2024-10-09,The Outrun,2024,https://boxd.it/txPo
2025-05-22,The Phoenician Scheme,2025,https://boxd.it/H0Ca
2025-05-22,Leave One Day,2025,https://boxd.it/MK6k
2025-05-22,The History of Sound,2025,https://boxd.it/xFY2
2025-05-22,The Little Sister,2025,https://boxd.it/AicU
2025-05-22,Sirāt,2025,https://boxd.it/HxJo
2025-05-22,Two Prosecutors,2025,https://boxd.it/LTvG
2025-05-22,Fuori,2025,https://boxd.it/O1oM
2025-05-22,Sound of Falling,2025,https://boxd.it/Km9K
2025-05-22,Sentimental Value,2025,https://boxd.it/GwcG
2025-05-22,My Father's Shadow,2025,https://boxd.it/T1a6
2025-05-22,The Great Arch,2025,https://boxd.it/NeLW
2025-05-22,Urchin,2025,https://boxd.it/MY30
2025-05-22,Eleanor the Great,2025,https://boxd.it/JZLm
2025-05-22,Once Upon a Time in Gaza,2025,https://boxd.it/NYR2
2025-05-22,The Last One for the Road,2025,https://boxd.it/UbvU
2025-05-22,Highest 2 Lowest,2025,https://boxd.it/LcIC
2025-05-22,Mission: Impossible – The Final Reckoning,2025,https://boxd.it/l7A2
2025-05-22,Amrum,2025,https://boxd.it/MmPA
2025-05-22,Splitsville,2025,https://boxd.it/PGtA
2025-05-22,The Wave,2025,https://boxd.it/KHHo
2025-05-22,The Disappearance of Josef Mengele,2025,https://boxd.it/DfNY
2025-05-22,Bono: Stories of Surrender,2025,https://boxd.it/Tjlc
2025-05-22,Tell Her That I Love Her,2025,https://boxd.it/KnGA
2025-05-22,Love Me Tender,2025,https://boxd.it/NeOc
2025-05-22,I Only Rest in the Storm,2025,https://boxd.it/FJZa
2025-05-22,The Chronology of Water,2025,https://boxd.it/j3pq
2025-05-22,The Love That Remains,2025,https://boxd.it/LWuG
2025-05-22,No One Will Know,2025,https://boxd.it/JKX8
2025-05-22,Magellan,2025,https://boxd.it/APTM
2025-05-22,"13 Days, 13 Nights: In the Hell of Kabul",2025,https://boxd.it/LLby
2025-06-14,Normal People,2020,https://boxd.it/q2VY
2025-06-14,Mulholland Drive,2001,https://boxd.it/297o
2025-06-14,Moonlight,2016,https://boxd.it/d6bE
2025-06-14,Her,2013,https://boxd.it/4O24
2025-06-14,Vagabond,1985,https://boxd.it/T0u
2025-11-11,The Shape of Water,2017,https://boxd.it/dZ5m
2025-11-11,Nomadland,2020,https://boxd.it/lnRy
2025-11-11,Eternity and a Day,1998,https://boxd.it/1wSq
2025-11-11,It Was Just an Accident,2025,https://boxd.it/TX2k
2025-11-11,"I, Daniel Blake",2016,https://boxd.it/d0xa
2025-11-11,Spirited Away,2001,https://boxd.it/2b4m
2025-11-11,GoodFellas,1990,https://boxd.it/29FA
2025-11-11,The Deer Hunter,1978,https://boxd.it/1T6O
2025-11-11,The Piano Teacher,2001,https://boxd.it/2886
2025-11-11,"Synecdoche, New York",2008,https://boxd.it/23zw
2025-11-11,The Hateful Eight,2015,https://boxd.it/8gw8
2025-11-11,The Shining,1980,https://boxd.it/29Nu
2025-12-28,On Becoming a Guinea Fowl,2024,https://boxd.it/EXzS
2025-12-28,Rebuilding,2025,https://boxd.it/JYjm
2026-01-04,What Happened Was...,1994,https://boxd.it/2WAk
2026-01-04,Life Is Beautiful,1997,https://boxd.it/29Wm
2026-01-07,Nashville,1975,https://boxd.it/25GE
2026-01-07,Magnolia,1999,https://boxd.it/2aze
2026-01-07,The Social Network,2010,https://boxd.it/17ue
2026-01-29,Lenny Cooke,2013,https://boxd.it/5mbk
2026-02-02,Josephine,2026,https://boxd.it/NzPA
2026-02-02,Cronos,1992,https://boxd.it/1TjS
2026-02-02,Half Nelson,2006,https://boxd.it/20Ng
2026-02-02,Downhill Racer,1969,https://boxd.it/1fYQ
2026-02-02,Once Upon a Time in Harlem,2026,https://boxd.it/ZsJa
2026-02-16,Heat,1995,https://boxd.it/2bg8
2026-02-22,Transpecos,2016,https://boxd.it/dg4o
2026-02-22,Jockey,2021,https://boxd.it/tbfo
2026-02-22,Sing Sing,2023,https://boxd.it/HIBA
2026-02-22,Saturn Return,,https://boxd.it/Xrzu
2026-02-23,Before Sunrise,1995,https://boxd.it/2bcU
2026-02-23,Prey For Us,2025,https://boxd.it/119Lg
2026-03-04,The Master,2012,https://boxd.it/2cBG
2026-03-04,Punch-Drunk Love,2002,https://boxd.it/20E4
2026-03-04,Phantom Thread,2017,https://boxd.it/e4uc
2026-03-04,Inherent Vice,2014,https://boxd.it/5hla
2026-03-04,Hard Eight,1996,https://boxd.it/20DU
2026-03-04,Anima,2019,https://boxd.it/mxuc
2026-03-04,Junun,2015,https://boxd.it/c0fo
2026-03-05,The Eight Mountains,2022,https://boxd.it/ufRe
2026-03-05,"Paris, Texas",1984,https://boxd.it/29Ts
2026-03-05,Wings of Desire,1987,https://boxd.it/2b26
